Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Engine,Seats,Price
Hyundai Verna CRDi 1.6 SX,2008,143275,Diesel,Manual,1582 CC,5,11180
Hyundai Santro Xing XL,2006,99000,Petrol,Manual,1086 CC,5,7525
Hyundai i20 1.2 Sportz,2010,52000,Petrol,Manual,1197 CC,5,12040
Mercedes-Benz GLE 350d,2017,29819,Diesel,Automatic,2987 CC,5,263547
Mercedes-Benz New C-Class C 220 CDI CLASSIC,2014,57000,Diesel,Manual,2148 CC,5,77400
Maruti Ritz ZDi,2014,88500,Diesel,Manual,1248 CC,5,18705
Hyundai Creta 1.6 CRDi SX,2016,28000,Diesel,Manual,1582 CC,5,59125
Maruti A-Star Vxi,2010,67000,Petrol,Manual,998 CC,5,8600
Renault Duster 110PS Diesel RXZ Option,2016,26000,Diesel,Manual,1461 CC,5,43000
Fiat Grande Punto 1.3 Emotion Pack (Diesel),2010,120000,Diesel,Manual,1248 CC,5,7095
BMW X3 xDrive30d M Sport,2017,51982,Diesel,Automatic,2993 CC,5,196811
Hyundai i10 Sportz,2010,36000,Petrol,Manual,1197 CC,5,13975
Toyota Innova 2.5 G4 Diesel 7-seater,2016,47000,Diesel,Manual,2494 CC,7,55040
Maruti Zen VXI BSII,2002,60000,Petrol,Manual,993 CC,5,2365
Maruti Swift VDI,2018,31025,Diesel,Manual,1248 CC,5,30745
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,2013,105000,Diesel,Manual,2179 CC,8,30100
Tata Zest Quadrajet 1.3 75PS XE,2017,121900,Diesel,Manual,1248 CC,5,16125
Ford EcoSport 1.0 Ecoboost Titanium Plus,2017,22695,Petrol,Manual,999 CC,5,36550
Maruti Swift Dzire ZDI,2012,73000,Diesel,Manual,1248 CC,5,18705
Maruti Alto 800 LXI,2016,32227,Petrol,Manual,796 CC,5,14018
Honda City 1.5 S MT,2011,55000,Petrol,Manual,1497 CC,5,18103
Audi Q7 3.0 TDI Quattro Technology,2018,11287,Diesel,Automatic,2967 CC,7,302548
Skoda Laura 1.9 TDI AT Ambiente,2009,48000,Diesel,Automatic,1896 CC,5,12685
Hyundai Verna 1.6 SX VTVT (O),2012,54308,Petrol,Manual,1591 CC,5,18404
Honda City 1.5 V AT,2009,78442,Petrol,Automatic,1497 CC,5,15351
Hyundai i20 Magna Optional 1.4 CRDi,2013,46000,Diesel,Manual,1396 CC,5,13373
Hyundai i20 Sportz AT 1.4,2014,45051,Petrol,Automatic,1396 CC,5,25628
Volkswagen Vento Diesel Highline,2011,69000,Diesel,Manual,1598 CC,5,20210
Honda City i VTEC VX,2014,49000,Petrol,Manual,1497 CC,5,29670
Tata Zest Quadrajet 1.3 75PS XE,2018,45000,Diesel,Manual,1248 CC,5,22575
BMW 5 Series 2003-2012 520d,2015,64000,Diesel,Automatic,1995 CC,5,120400
Maruti Wagon R LXI Minor,2009,60000,Petrol,Manual,1061 CC,5,5805
Honda Jazz VX,2015,62178,Petrol,Manual,1199 CC,5,20855
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,2012,58006,Diesel,Manual,1896 CC,5,28810
Hyundai i10 Magna 1.2,2010,74000,Petrol,Manual,1197 CC,5,13330
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,77771,Diesel,Automatic,2143 CC,5,80152
Hyundai i10 Magna 1.2 iTech SE,2012,45275,Petrol,Manual,1197 CC,5,12040
Toyota Innova Crysta 2.4 ZX MT,2016,48000,Diesel,Manual,2393 CC,7,87075
Audi A6 2011-2015 2.0 TDI Technology,2015,31652,Diesel,Automatic,1968 CC,5,115154
Toyota Innova 2.5 VX (Diesel) 7 Seater,2010,109000,Diesel,Manual,2494 CC,7,35518
Volkswagen Polo Petrol Trendline 1.2L,2015,31978,Petrol,Manual,1198 CC,5,16727
Maruti Alto K10 LXI,2011,70000,Petrol,Manual,998 CC,5,9030
Honda City i-VTEC CVT ZX,2017,15000,Petrol,Automatic,1497 CC,5,54567
Tata Indigo LX,2013,59138,Diesel,Manual,1405 CC,5,11094
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,61726,Diesel,Automatic,1968 CC,5,89311
Mercedes-Benz GLA Class 200 CDI SPORT,2015,48000,Diesel,Automatic,2143 CC,5,87118
Hyundai Santro Xing XL,2006,58000,Petrol,Manual,1086 CC,5,6450
Maruti Swift VDI BSIV,2011,60020,Diesel,Manual,1248 CC,5,10750
Maruti Celerio VXI AT,2014,77815,Petrol,Automatic,998 CC,5,18275
Mercedes-Benz GLE 250d,2017,29000,Diesel,Automatic,2143 CC,5,245100
Land Rover Range Rover HSE Dynamic,2017,44000,Diesel,Automatic,2179 CC,5,189200
